               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11163,            0.026308,                   0,            0.022511,             0.11111,           0.0087243,            0.001595,            0.098752,            0.017675,                   0,              0.0013,              0.0013,              0.0883
                   1,              0.0907,            0.034429,                   0,            0.062896,             0.23611,            0.024495,           0.0047753,             0.08637,              0.0185,                   0,           0.0026866,           0.0026866,            0.075687
                   2,            0.078862,            0.036131,                   0,             0.11705,                0.25,             0.05499,            0.012494,            0.078419,            0.020052,                   0,           0.0040594,           0.0040594,            0.063059
                   3,             0.07201,            0.037018,                   0,             0.33288,             0.16667,             0.12447,            0.022711,            0.079719,            0.023372,                   0,           0.0054183,           0.0054183,            0.050418
                   4,            0.069374,            0.034923,                   0,             0.12933,             0.36104,              0.1355,            0.028699,            0.074167,            0.021304,                   0,           0.0067634,           0.0067634,            0.037763
                   5,            0.066466,            0.032291,                   0,             0.24296,                0.25,             0.15396,             0.04383,            0.071306,            0.022572,                   0,           0.0080946,           0.0080946,            0.025095
                   6,            0.062777,            0.033362,                   0,             0.31096,             0.45833,             0.29065,            0.085453,             0.06966,            0.024629,                   0,           0.0094119,           0.0094119,            0.012412
                   7,            0.057584,            0.031136,                   0,             0.14887,             0.38889,              0.1123,             0.03263,            0.070695,            0.041515,                   0,           0.0096535,           0.0096535,           0.0096535
                   8,            0.058259,             0.03159,                   0,             0.31769,                0.25,             0.20495,            0.066786,            0.070492,            0.027796,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.053224,            0.030706,                   0,             0.21076,             0.31897,             0.19971,            0.044072,            0.069628,            0.035885,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.05322,            0.029129,                   0,             0.30959,             0.43056,             0.25704,            0.085372,            0.066757,            0.023115,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.049995,            0.030012,                   0,             0.47972,             0.49944,             0.39211,             0.10885,             0.06601,            0.018701,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.048544,            0.028877,                   0,             0.28875,             0.30556,              0.1667,             0.06031,            0.066319,            0.023311,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.047378,             0.02872,                   0,             0.57093,                 0.5,              0.4251,             0.10129,            0.064452,            0.017803,                   0,            0.009406,            0.009406,            0.009406
